"Date_Time","Usage_kW","Adults","Children","House"
2019-01-09 19:00:00,0.311205277783333,2,1,"House_1"
2019-01-09 20:00:00,0.27896361115,2,1,"House_1"
2019-01-09 21:00:00,0.341472222166667,2,1,"House_1"
2019-01-09 22:00:00,0.3222852778,5,3,"House_1"
2019-01-09 23:00:00,0.449438888883333,5,3,"House_1"
2019-01-10 00:00:00,0.143213611083333,5,3,"House_1"
2019-01-10 01:00:00,0.1683813889,5,3,"House_1"
2019-01-10 02:00:00,0.795259166616667,5,3,"House_1"
2019-01-10 03:00:00,0.455048611133333,5,3,"House_1"
2019-01-10 04:00:00,0.307425833333333,5,3,"House_1"
2019-01-10 05:00:00,0.3241930556,5,3,"House_1"
2019-01-10 06:00:00,0.465195555533333,5,3,"House_1"
2019-01-10 07:00:00,0.342185555566667,2,1,"House_1"
2019-01-10 08:00:00,0.289554166666667,2,1,"House_1"
2019-01-10 09:00:00,0.246922222233333,2,1,"House_1"
2019-01-10 10:00:00,0.234280833333333,2,1,"House_1"
2019-01-10 11:00:00,0.333027222183333,2,1,"House_1"
2019-01-10 12:00:00,0.363826388833333,2,1,"House_1"
2019-01-10 13:00:00,0.263170555583333,2,1,"House_1"
2019-01-10 14:00:00,0.112689999933333,2,1,"House_1"
2019-01-10 15:00:00,0.159878611083333,2,1,"House_1"
2019-01-10 16:00:00,0.2035186111,2,1,"House_1"
2019-01-10 17:00:00,1.15304888885,4,2,"House_1"
2019-01-10 18:00:00,0.109601666716667,2,1,"House_1"
2019-01-10 19:00:00,0.142148888883333,2,1,"House_1"
2019-01-10 20:00:00,0.17528138885,2,1,"House_1"
2019-01-10 21:00:00,0.223853611166667,2,1,"House_1"
2019-01-10 22:00:00,0.385989166683333,5,3,"House_1"
2019-01-10 23:00:00,0.381722499966667,5,3,"House_1"
2019-01-11 00:00:00,0.196794999983333,5,3,"House_1"
2019-01-11 01:00:00,0.241833055566667,5,3,"House_1"
2019-01-11 02:00:00,0.708179166633333,5,3,"House_1"
2019-01-11 03:00:00,2.7697813889,5,3,"House_1"
2019-01-11 04:00:00,1.6385363889,5,3,"House_1"
2019-01-11 05:00:00,2.81778416663333,5,3,"House_1"
2019-01-11 06:00:00,0.332000833333333,5,3,"House_1"
2019-01-11 07:00:00,0.37868722225,2,1,"House_1"
2019-01-11 08:00:00,0.2864022222,2,1,"House_1"
2019-01-11 09:00:00,0.277752777783333,2,1,"House_1"
2019-01-11 10:00:00,0.322476666733333,2,1,"House_1"
2019-01-11 11:00:00,0.461962499966667,2,1,"House_1"
2019-01-11 12:00:00,0.360209722183333,2,1,"House_1"
2019-01-11 13:00:00,0.26585666665,2,1,"House_1"
2019-01-11 14:00:00,0.278205833316667,2,1,"House_1"
2019-01-11 15:00:00,0.168447499933333,2,1,"House_1"
2019-01-11 16:00:00,0.144493055616667,2,1,"House_1"
2019-01-11 17:00:00,0.76875194445,4,2,"House_1"
2019-01-11 18:00:00,0.19082555555,2,1,"House_1"
2019-01-11 19:00:00,0.330344166683333,2,1,"House_1"
2019-01-11 20:00:00,0.14411166665,2,1,"House_1"
2019-01-11 21:00:00,0.142387777783333,2,1,"House_1"
2019-01-11 22:00:00,0.1551908334,5,3,"House_1"
2019-01-11 23:00:00,0.20119055555,5,3,"House_1"
2019-01-12 00:00:00,0.5503244444,5,3,"House_1"
